"utterance","keywords","relevances"
"120 G で手軽に持っていただけるものとなっております。","120 G;もの;120","0.6268945336341858;0.3731054663658142;0.0"
"120 G となっております。","120 G;120","1.0;0.0"
"120 G となってるはず。","120 G;120","1.0;0.0"
"120 G と結構軽いですね。","120 G;120","1.0;0.0"
"120 G なのでカバンとかに入れ溶ける重さとなっておりますそうなんですよ。","カバン;120","1.0;0.0"
"120 G なので大変持ち運びに便利なものとなっております。","持ち運び;もの;120","0.5640020370483398;0.43599796295166016;0.0"
"120 G なので大変軽いものですね。","もの;120","1.0;0.0"
"120 G になっております。","120 G;120","1.0;0.0"
"120 G は軽いですねこのシルバーだけです","120 G;シルバー;120","0.5577960014343262;0.44220399856567383;0.0"
"120 G 軽いですね。","120","0.0"
"120。","120","0.0"
"120そうですか。あの価格っておいくらぐらい","価格;120","1.0;0.0"
"120グラムで大変軽いものとなっております。","もの;120","1.0;0.0"
"120字もいっぱいそのを持ち歩いてって言うのも全然も。","120","0.0"
"127ならなら友達といろんな遊ぶ場面で使いたいと思ってるんですけどもこの殺人モードっていうのはどれぐらいあるのでしょうか","場面;友達;殺人モード;127","0.4038383960723877;0.4018934965133667;0.1942681223154068;0.0"
"12種類でいっぱいだからいろんなモードでまなか面白い写真撮ったりすることができるので良いと思います","モード;写真;12","0.5346381068229675;0.46536189317703247;0.0"
"12種類もあるんやんこれ値段はいくらぐらいなんですか","値段;12","1.0;0.0"
"12種類も補正ができるんですね。","補正;12","1.0;0.0"
"13も何があるんですかね。","13","0.0"
"13より結構いいですね。","13","0.0"
"1470 G","1470","0.0"
"1470 G でまあまあ。","1470","0.0"
"170 G","170 G;170","1.0;0.0"
"170。それは軽いんですかね。","170","0.0"
"170。カバに入れて持ち運ぶのに。","カバ;持ち運ぶ;170","0.6059221625328064;0.394077867269516;0.0"
"1800円他に何か持ち運びしやすいカメラってありますか？","他;何か;カメラ;1800円;1800","0.3859500288963318;0.3204198479652405;0.29363012313842773;0.0;0.0"
"18。","18","0.0"
"18の撮影モードというのは、","撮影モード;18","1.0;0.0"
"18年もあるんですね。","18","0.0"
"18種類。例えばどんなモードがある。","モード;18","1.0;0.0"
"18種類の撮影モードがついてまして海や山や夜景などそれぞれのシーンに合わせたものを設定して頂いて適したものをカメラが自動に洗濯してくれますのではいあの間違いなく失敗なく撮影できるものとなってます","もの;撮影モード;もの;海;山;夜景;もの;間違い;失敗;自動;それぞれ;シーン;カメラ;18","0.10170158743858337;0.09608398377895355;0.09404250979423523;0.08160174638032913;0.08160174638032913;0.08160174638032913;0.07707034796476364;0.0723373293876648;0.0723373293876648;0.06982848048210144;0.062104977667331696;0.06153815984725952;0.048150040209293365;0.0"
"18種類はどういうどういうシーンがあるんですか？","シーン;18","1.0;0.0"
"18種類もこんなちっちゃいのにすごいですね。","18","0.0"
"19という真ん中の真ん中のクラスというかはい","真ん中;中;クラス;19","0.3911380171775818;0.3395930528640747;0.2692689299583435;0.0"
"1ぐらい重さは重い方ですかね。","重さ;方;1","0.5821747779846191;0.41782519221305847;0.0"
"1は","1","0.0"
"1キロ1キロぐらいで済んだいたい。","1;1","0.0;0.0"
"1キロぐらいですね正確には950 G で本体だけなのでそれであのレンズとか持ち歩くともっと重くなりますね","レンズ;本体;1;950","0.5261150598526001;0.4738849401473999;0.0;0.0"
"1万円ですか？まで待っちょっと孫もできたことなんで。こちらで、","こと;んで;孫;1万円;1万","0.3389638662338257;0.3389638662338257;0.32207226753234863;0.0;0.0"
"1万円借りました。昨日としてどんな機能がありますか？","機能;1万円;1万","1.0;0.0;0.0"
"1回出た。大丈夫みたいなかなか。","1","0.0"
"1度見られますか？","1","0.0"
"1度高いですけど、買って頂くと長く使っていただけるので、","1","0.0"
"2.3メガピクセル","ピクセル;2.3","1.0;0.0"
"2.5","2.5","0.0"
"2.5いらっしゃいませ、何かお探しでしょうか。","何か;2.5","1.0;0.0"
"20 G は結構軽いですね。色はシルバーだけですか？","シルバー;色;20","0.5785165429115295;0.42148348689079285;0.0"
"20.1は例えば明るい時とか暗い時なんかと思ったら自動機能されてたっけ。","自動機能;20.1","1.0;0.0"
"20.1メガピクセルですね。","20.1","0.0"
"20.1メガピクセルとなってます。","ピクセル;20.1","1.0;0.0"
"20.1メガピクセル出るのはまぁだいたい標準的な感じなんですかね","感じ;20.1","1.0;0.0"
"20.1日 ちなみにこのタイプんでこれよりも解像度の幽門ってなるんですかね","タイプ;解像度;幽門;20.1","0.37416699528694153;0.3205200731754303;0.30531296133995056;0.0"
"20.9ピクセルぐらいあれば全然いい写真とか","写真;20.9","1.0;0.0"
"200020マンあのちょっと前のカメラが調子が悪くなってきて、","調子;カメラ;200020","0.5094040036201477;0.4905960261821747;0.0"
"20万 Plus レンズに自分で写真が好きなんで、","Plus レンズ;写真;20万","0.592268168926239;0.407731831073761;0.0"
"20万 in 以上のを教えてください。","20万","0.0"
"20万+ S のレンタルってどこの方言","方言;レンタル;20万","0.5046740174293518;0.4953260123729706;0.0"
"20万この静音撮影っていうのはどう","静音;撮影;20万","0.5;0.5;0.0"
"20万円ってなってます。一眼レフはちょっと高いのでそうですね。","一眼レフ;20万円;20万","1.0;0.0;0.0"
"20万円です。","20万円;20万","0.0;0.0"
"20万円ですね。本体のみとなりますので。","本体;20万円;20万","1.0;0.0;0.0"
"20万円なるほど。様ちょっとまた保留して考えます","20万円;20万","0.0;0.0"
"20万円になっております。","20万円;20万","0.0;0.0"
"20万円価値は","価値;20万円;20万","1.0;0.0;0.0"
"20万解像度どれくらいですか？","20万","0.0"
"22.3","22.3","0.0"
"22.3ねアラームを自動機能はついてないですよね。","アラーム;自動機能;22.3","0.5954393148422241;0.4045606851577759;0.0"
"22.3ねアラームを自動機能はついてないですよね。ISO の解像度どれくらいなんですか ISO はじゃあ、暗いとこでも割としっかり取れますね。夜景が好きでよく撮りに行くんですよ。フォロワーの静音機能とかもついてますか？いいけどいいですね。ちょっとこのカメラ欲しいけどなー。ちょっと他のカメラともうちょっと検討したいと思います。はいありがとうございます","アラーム;ISO;自動機能;カメラ;解像度;夜景;静音機能;フォロワー;他;22.3","0.25117895007133484;0.24368560314178467;0.2125527560710907;0.0863703116774559;0.08497031033039093;0.04657803475856781;0.02688780054450035;0.024645283818244934;0.023130951449275017;0.0"
